"pitch_type","pitch_id","game_date","start_speed","x0","z0","player_name","batter","pitcher","events","description","spin_dir","spin_rate","break_angle","break_length","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","px","pz","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs","tfs_zulu","catcher","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","hit_speed","hit_angle","effective_speed","release_spin_rate","release_extension","game_pk"
"FF",298,"2017-04-13","96.48     ","-1.27924710681025","5.68011900760095","Yoenis Cespedes","493316","570632","Home Run","In play, run(s)","230.772   ","2350.523  ","40.8      ","5.1       ","1 ","Yoenis Cespedes homers (6) on a fly ball to left field.  ","R ","R","R","MIA","NYM","X",7,1,0,0,2017,"-9.060712102377504    ","7.396925618325504   ","-0.29316470914069","2.98256783190323","null","null","null",0,5,"top","22.5200","59.0500","003558","2017-04-14T00:35:58Z","454560","427220","170414_003559","5.90","-139.903873388972   ","-4.21","-17.56","32.55","-17.84","3.30","1.50","402","106.0","33.32               ","95.27","null","5.85",490236
"FF",182,"2017-04-13","92.39     ","1.40577508176842","5.72742863600689","Yoenis Cespedes","493316","612672","Home Run","In play, run(s)","148.712   ","2294.568  ","-33.6     ","4.1       ","3 ","Yoenis Cespedes homers (5) on a fly ball to left center field.  ","R ","R","L","MIA","NYM","X",7,1,2,2,2017,"6.221633985942624     ","10.237097827520113  ","0.690291060576435","2.78307838777872","null","null","null",0,3,"top","53.9500","32.1800","000225","2017-04-14T00:02:25Z","454560","427220","170414_000226","-3.97","-134.055310191743   ","-5.11","11.01","30.66","-14.06","3.30","1.50","427","107.0","29.65               ","91.24","null","5.87",490236
"FF",30,"2017-04-11","90.66     ","-0.773612807272436","5.72496409105628","Yoenis Cespedes","493316","453329","Home Run","In play, run(s)","196.866   ","2532.420  ","25.7      ","3.1       ","9 ","Yoenis Cespedes homers (2) on a fly ball to center field.   Curtis Granderson scores.    Asdrubal Cabrera scores.  ","R ","R","R","PHI","NYM","X",8,1,0,2,2017,"-3.838714217157179    ","12.660223567592281  ","0.329919088011628","2.06235153850368",434158,452678,"null",0,1,"top","140.5800","25.4800","231822","2017-04-11T23:18:22Z","519237","427538","170411_231823","4.14","-131.475386327945   ","-7.50","-6.66","30.20","-10.21","3.41","1.57","411","105.2","25.68               ","90.27","2099","6.42",490211
"SL",245,"2017-04-11","85.25     ","2.24975592940209","6.0130935146919","Yoenis Cespedes","493316","605388","Home Run","In play, run(s)","172.735   ","949.752   ",".3        ","6.5       ","5 ","Yoenis Cespedes homers (3) on a fly ball to left field.  ","R ","R","L","PHI","NYM","X",7,1,2,2,2017,"0.6608935353107076    ","5.1827854017726835  ","-0.215789512921017","2.31716393522106","null","null","null",0,4,"top","7.0000","73.3200","002342","2017-04-12T00:23:42Z","519237","427538","170412_002343","-6.23","-123.655283015658   ","-4.08","1.02","24.50","-24.14","3.37","1.54","428","109.3","24.38               ","84.00","2645","5.63",490211
"FF",357,"2017-04-11","92.29     ","1.90017974969428","5.60277137523815","Yoenis Cespedes","493316","605388","Home Run","In play, run(s)","128.944   ","2668.352  ","-44.3     ","5.6       ","5 ","Yoenis Cespedes homers (4) on a fly ball to left center field.  ","R ","R","L","PHI","NYM","X",7,1,1,1,2017,"10.57307389227018     ","8.544537710221176   ","0.0081796650089600","2.60577050367176","null","null","null",2,5,"top","29.0300","68.6600","005321","2017-04-12T00:53:21Z","519237","427538","170412_005323","-8.62","-133.80543311013    ","-4.75","19.14","29.26","-16.71","3.30","1.50","382","108.3","37.57               ","91.68","2334","6.15",490211
"FT",517,"2017-04-11","93.91     ","3.06100909709165","5.00576086035972","Yoenis Cespedes","493316","570257","Double","In play, no out","99.073    ","2837.306  ","-39.2     ","8.1       ","14","Yoenis Cespedes doubles (2) on a sharp line drive to center fielder Odubel Herrera.  ","R ","R","L","PHI","NYM","X",8,3,0,1,2017,"14.04686003479176     ","2.2432222625463236  ","0.319962623268384","1.26652397913549","null","null","null",2,7,"top","124.8500","39.6300","014544","2017-04-12T01:45:44Z","519237","427538","170412_014555","-12.24","-135.846295159923   ","-4.81","26.24","29.91","-27.98","3.37","1.54","377","111.0","13.31               ","92.60","2020","5.85",490211
"FT",621,"2017-04-08","93.42     ","-2.40093066917554","5.46936308075111","Yoenis Cespedes","493316","475479","Flyout","In play, out(s)","217.742   ","2593.843  ","40.2      ","4.2       ","12","Yoenis Cespedes flies out sharply to center fielder Christian Yelich.  ","R ","R","R","NYM","MIA","X",8,1,2,0,2017,"-8.108890624537416    ","10.475491594805256  ","0.846184671111165","2.73265798467719","null","null",452678,2,8,"bot","158.5800","36.8100","020616","2017-04-09T02:06:16Z","592663","427103","170409_020628","11.39","-134.987387864997   ","-4.79","-14.77","32.85","-13.09","3.37","1.54","391","100.7","29.16               ","91.59","2383","5.84",490170
"FF",551,"2017-04-07","90.62     ","-2.93677653554298","5.64005113983932","Yoenis Cespedes","493316","621295","Home Run","In play, run(s)","225.165   ","1742.888  ","23.3      ","5.6       ","4 ","Yoenis Cespedes homers (1) on a fly ball to left center field.  ","R ","R","R","NYM","MIA","X",7,1,3,1,2017,"-6.413640648569016    ","6.376705838389848   ","-0.483623081959558","2.43409436516991","null","null","null",0,8,"bot","0.0000","0.0000","015112","2017-04-08T01:51:12Z","454560","573596","170408_015124","8.52","-131.494988813466   ","-4.26","-11.20","28.51","-21.04","3.30","1.50","378","103.7","35.56               ","90.87","1763","6.64",490155
"FF",585,"2017-04-03","98.09     ","-2.58019193071885","5.02557179087483","Yoenis Cespedes","493316","542432","Flyout","In play, out(s)","230.595   ","2923.935  ","53.2      ","5.0       ","11","Yoenis Cespedes flies out sharply to center fielder Ender Inciarte.  ","R ","R","R","NYM","ATL","X",8,1,0,0,2017,"-10.96491374182580    ","9.008017363713734   ","-0.72222363806736","2.87518586412566","null","null","null",2,8,"bot","94.7500","42.8600","201448","2017-04-03T20:14:48Z","452095","427269","170403_201450","9.16","-142.417869843919   ","-3.52","-22.18","36.56","-13.95","3.44","1.63","379","101.7","34.45               ","96.68","2398","5.86",490098
